,sensors_Torque_cmd,sensors_TV_delta_torque,sensors_TC_Tmax_FL,sensors_TC_Tmax_FR,sensors_TC_Tmax_RL,sensors_TC_Tmax_RR,MISC_Pos_Trq_Limit_FL,MISC_Pos_Trq_Limit_FR,MISC_Pos_Trq_Limit_RL,MISC_Pos_Trq_Limit_RR
1.23,-0.0,0.0,97.031398,99.355889,148.628282,150.952773,0.0,0.0,0.0,0.0
1.24,-0.0,0.0,96.993873,99.349628,148.642,150.99775,0.0,0.0,0.866852,0.933914
1.25,-0.0,0.0,96.993892,99.349648,148.64203,150.997779,0.0,0.0,0.86867,0.93674
1.26,-0.0,0.0,96.976014,99.36292,148.622936,151.009843,0.0,0.0,0.868671,0.93674
1.27,-0.0,0.0,96.925693,99.406115,148.570739,151.051167,0.0,0.0,0.868236,0.937223
1.28,-0.0,0.0,96.888567,99.415753,148.557762,151.084941,0.0,0.0,0.866989,0.938733
1.29,-0.0,0.0,96.914585,99.426155,148.546288,151.057858,0.0,0.0,0.017649,0.018546
1.3,-0.0,0.0,96.965867,99.399432,148.572657,151.006227,0.0,0.0,0.866023,0.938663
1.31,-0.0,0.0,97.009073,99.34912,148.62968,150.969733,0.0,0.0,0.865928,0.93622
1.32,-0.0,0.0,97.011689,99.305015,148.684139,150.977464,0.0,0.0,0.867705,0.935266
1.33,-0.0,0.0,97.089578,99.242536,148.750399,150.903344,0.0,0.0,0.87054,0.936813
1.34,-0.0,0.0,97.120995,99.195915,148.793503,150.868417,0.0,0.0,0.871824,0.93395
1.35,-0.0,0.0,97.114899,99.189822,148.799884,150.874812,0.0,0.0,0.873354,0.933209
1.36,-0.0,0.0,97.071259,99.208582,148.781111,150.918427,0.0,0.0,0.873901,0.933775
1.37,-0.0,0.0,97.028135,99.259007,148.724188,150.955059,0.0,0.0,0.874185,0.935929
1.38,-0.0,0.0,97.027167,99.335913,148.633373,150.942125,0.0,0.0,0.872392,0.936867
1.39,-0.0,0.0,96.997892,99.415682,148.538951,150.95674,0.0,0.0,0.86331,0.933023
1.4,-0.0,0.0,96.918689,99.476817,148.47069,151.028812,0.0,0.0,0.86331,0.933023
1.41,-0.0,0.0,96.896005,99.500932,148.448374,151.053308,0.0,0.0,0.0,0.0
1.42,-0.0,0.0,96.938427,99.512205,148.442152,151.01593,0.0,0.0,0.861449,0.9367
1.43,-0.0,0.0,96.978452,99.489907,148.471151,150.982606,0.0,0.0,0.85971,0.933947
1.44,-0.0,0.0,96.979133,99.459492,148.511063,150.991428,0.0,0.0,6.9e-05,7.2e-05
1.45,-0.0,0.0,96.988348,99.40637,148.571507,150.989523,0.0,0.0,0.862074,0.933609
1.46,-0.0,0.0,97.031819,99.340676,148.640499,150.949362,0.0,0.0,0.865077,0.934868
1.47,-0.0,0.0,97.084609,99.299857,148.680757,150.895994,0.0,0.0,0.01758,0.018393
1.48,-0.0,0.0,97.093801,99.277853,148.702261,150.886318,0.0,0.0,0.868228,0.93208
1.49,-0.0,0.0,97.060682,99.275945,148.706996,150.922265,0.0,0.0,0.869168,0.932125
1.5,-0.0,0.0,97.048098,99.279,148.707586,150.9385,0.0,0.0,0.870416,0.93435
1.51,-0.0,0.0,97.0931,99.292758,148.689616,150.889268,0.0,0.0,0.870781,0.935197
1.52,-0.0,0.0,97.053429,99.315452,148.661167,150.92319,0.0,0.0,0.86844,0.931834
1.53,-0.0,0.0,97.015871,99.340288,148.635948,150.960365,0.0,0.0,0.0,0.0
1.54,-0.0,0.0,96.974988,99.346224,148.632935,151.004178,0.0,0.0,0.867889,0.934989
1.55,-0.0,0.0,96.984522,99.340195,148.643384,150.999069,0.0,0.0,0.0,0.0
1.56,-0.0,0.0,96.983894,99.355196,148.630849,151.002157,0.0,0.0,0.869164,0.937251
1.57,-0.0,0.0,96.995208,99.366483,148.61674,150.988009,0.0,0.0,0.868436,0.936963
1.58,-0.0,0.0,96.995208,99.366483,148.61674,150.988009,0.0,0.0,7e-05,7.3e-05
1.59,-0.0,0.0,96.952607,99.370512,148.595373,151.013272,0.0,0.0,7e-05,7.3e-05
1.6,-0.0,0.0,96.997172,99.368192,148.588298,150.959324,0.0,0.0,0.867716,0.937612
1.61,-0.0,0.0,97.009884,99.365274,148.587905,150.943289,0.0,0.0,0.866085,0.934509
1.62,-0.0,0.0,97.028648,99.352925,148.608351,150.932627,0.0,0.0,0.865721,0.933663
1.63,-0.0,0.0,97.020231,99.391358,148.576453,150.947574,0.0,0.0,0.866169,0.933198
1.64,-0.0,0.0,97.070751,99.379506,148.59006,150.898803,0.0,0.0,0.864528,0.932892
1.65,-0.0,0.0,97.070258,99.379001,148.589306,150.898037,0.0,0.0,0.863708,0.930176
1.66,-0.0,0.0,97.061092,99.35427,148.618304,150.911476,0.0,0.0,0.8637,0.930168
1.67,-0.0,0.0,97.009493,99.349549,148.630323,150.970386,0.0,0.0,0.865552,0.931628
1.68,-0.0,0.0,97.030432,99.354899,148.626801,150.951269,0.0,0.0,0.867711,0.935273
1.69,-0.0,0.0,97.052313,99.37671,148.597432,150.921829,0.0,0.0,0.866836,0.933897
1.7,-0.0,0.0,97.052313,99.37671,148.597432,150.921829,0.0,0.0,0.864621,0.931593
1.71,-0.0,0.0,97.057992,99.351238,148.629275,150.922521,0.0,0.0,0.864621,0.931593
1.72,-0.0,0.0,97.020502,99.345029,148.643042,150.967569,0.0,0.0,0.0,0.0
1.73,-0.0,0.0,97.02905,99.337989,148.651988,150.960921,0.0,0.0,0.0,0.0
1.74,-0.0,0.0,97.053702,99.346999,148.638433,150.931724,0.0,0.0,0.868172,0.93482
1.75,-0.0,0.0,97.071845,99.349481,148.630617,150.908259,0.0,0.0,0.866716,0.932839
1.76,-0.0,0.0,97.07434,99.351895,148.618721,150.896276,0.0,0.0,0.865798,0.931419
1.77,-0.0,0.0,97.076,99.353441,148.60552,150.882968,0.0,0.0,0.865197,0.930793
1.78,-0.0,0.0,97.078566,99.37157,148.582163,150.875161,0.0,0.0,0.864583,0.930152
